City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Ilhabela,BR,-23.7781,-45.3581,70.23,94,100,4.09,light rain
183,Isangel,VU,-19.55,169.2667,77.13,80,30,12.68,scattered clouds
184,Dongsheng,CN,39.8161,109.9776,41.94,42,0,9.42,clear sky
185,Fort Nelson,CA,58.8053,-122.7002,51.39,58,75,3.44,broken clouds
186,Chhatarpur,IN,24.9,79.6,68.67,58,0,3.62,clear sky
187,Rio Gallegos,AR,-51.6226,-69.2181,60.85,33,75,23.02,broken clouds
188,Haines Junction,CA,60.7522,-137.5108,39.15,93,100,1.14,overcast clouds
189,Victoria,HK,22.2855,114.1577,71.33,60,99,18.99,overcast clouds
190,Sorland,NO,67.667,12.6934,46.26,66,99,14.79,overcast clouds
191,Salaga,GH,8.5508,-0.5188,78.6,80,42,3.22,scattered clouds
192,Airai,TL,-8.9266,125.4092,61.34,88,100,1.72,overcast clouds
193,Kartaly,RU,53.0522,60.6467,39.51,77,78,15.41,broken clouds
194,Bac Lieu,VN,9.285,105.7244,77.22,89,89,3.49,overcast clouds
195,Kahului,US,20.8947,-156.47,87.82,58,20,11.5,few clouds
196,Piltene,LV,57.2243,21.6744,49.95,100,100,9.22,moderate rain
197,Kropotkin,RU,45.4375,40.5756,52.97,78,0,4.83,clear sky
198,Tubuala,PA,9.5167,-79.0333,81.61,81,86,8.37,moderate rain
199,Marsh Harbour,BS,26.5412,-77.0636,82.04,71,65,13.91,broken clouds
200,Kathmandu,NP,27.7167,85.3167,59.22,88,40,2.3,scattered clouds
201,Amapa,BR,1.0,-52.0,76.08,89,98,7.14,light rain
202,Qaanaaq,GL,77.484,-69.3632,7.2,90,98,3.96,overcast clouds
203,Peddapalli,IN,18.6167,79.3667,73.56,92,89,3.09,overcast clouds
204,Maragogi,BR,-9.0122,-35.2225,74.97,85,29,9.51,scattered clouds
205,Kalabo,ZM,-14.97,22.6814,77.92,30,80,4.07,broken clouds
206,Port Elizabeth,ZA,-33.918,25.5701,70.11,92,100,9.22,overcast clouds
207,Ambanja,MG,-13.6833,48.45,73.11,82,75,1.39,broken clouds
208,Mar Del Plata,AR,-38.0023,-57.5575,60.94,85,0,19.57,clear sky
209,Bethel,US,41.3712,-73.414,57.34,53,0,8.05,clear sky
210,Bacungan,PH,9.9106,118.7022,78.85,89,75,4.61,broken clouds
211,Half Moon Bay,US,37.4636,-122.4286,85.48,56,0,6.91,clear sky
212,Aklavik,CA,68.2191,-135.0107,28.4,93,100,2.3,fog
213,Carnarvon,AU,-24.8667,113.6333,66.24,82,0,11.63,clear sky
214,Bandarbeyla,SO,9.4942,50.8122,78.13,81,17,7.65,few clouds
215,Faanui,PF,-16.4833,-151.75,77.45,79,30,16.46,light rain
216,Zhigansk,RU,66.7697,123.3711,15.19,95,100,7.14,overcast clouds
217,Quelimane,MZ,-17.8786,36.8883,76.95,83,0,0.0,clear sky
218,Port Hardy,CA,50.6996,-127.4199,66.38,63,75,9.22,broken clouds
219,Alofi,NU,-19.0595,-169.9187,80.49,69,75,13.8,broken clouds
220,Palmer,US,42.1584,-72.3287,59.45,38,20,10.36,few clouds
221,Biratnagar,NP,26.4831,87.2834,66.92,68,0,2.26,clear sky
222,Baghdad,IQ,33.3406,44.4009,71.51,37,1,2.3,clear sky
223,Broken Hill,AU,-31.95,141.4333,56.64,92,100,19.98,moderate rain
224,Ust-Ishim,RU,57.6935,71.1665,39.16,91,100,5.7,overcast clouds
225,San Jose De Rio Tinto,HN,14.9333,-85.7,98.17,76,100,1.16,overcast clouds
226,Vila Velha,BR,-20.3297,-40.2925,75.15,87,75,11.5,broken clouds
227,Kerman,IR,30.2832,57.0788,53.46,22,0,9.22,clear sky
228,Vilyuysk,RU,63.7553,121.6247,21.99,98,100,2.82,overcast clouds
229,Gurupi,BR,-11.7292,-49.0686,93.76,20,100,0.76,overcast clouds
230,San Martin,AR,-33.081,-68.4681,57.74,70,100,16.11,overcast clouds
231,Gunjur,GM,13.2019,-16.7339,81.66,81,30,10.04,light rain
