City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Kokoda,PG,76.5,overcast clouds,-8.8785,147.7407,Daito Guest House
645,Eyl,SO,78.64,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
647,Axim,GH,77.76,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
650,San Patricio,US,72.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
651,Luganville,VU,82.44,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
653,Lima,PE,71.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
654,Phan Thiet,VN,74.89,broken clouds,10.9333,108.1,Hotel Saigon-PT
655,Aloleng,PH,77.43,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
659,Palu,ID,75.61,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
661,Kishorganj,BD,72.9,clear sky,24.4333,90.7667,Kishoreganj Resort
665,Charters Towers,AU,73.09,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
666,Chettipalaiyam,IN,73.35,mist,10.9,77.0667,KPR MARRIAGE GUEST HOUSE
674,Maholi,IN,71.15,clear sky,27.6667,80.4667,KISHAN TRACTOR SPARE PARTS
676,Alta Floresta,BR,79.88,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
677,Vilhena,BR,71.82,moderate rain,-12.7406,-60.1458,Hotel Mirage
